AT (Original),AT (Min-Max),AT (Z-Score),V (Original),V (Min-Max),V (Z-Score),AP (Original),AP (Min-Max),AP (Z-Score),RH (Original),RH (Min-Max),RH (Z-Score),PE (Original),PE (Min-Max),PE (Z-Score)
23.61,18.09,0.53,59.39,8.03,0.40,1015.11,0.55,0.31,78.84,0.71,0.38,438.08,1.00,-0.95
14.01,16.73,-0.76,45.08,6.75,-0.73,1023.28,0.75,1.69,82.49,0.76,0.63,464.79,1.00,0.61
31.33,19.18,1.57,76.86,9.58,1.77,997.85,0.12,-2.59,64.43,0.52,-0.61,431.44,1.00,-1.34
12.86,16.57,-0.91,44.77,6.73,-0.75,1018.75,0.64,0.92,74.73,0.66,0.10,468.43,1.00,0.82
16.40,17.07,-0.44,38.01,6.13,-1.28,1022.20,0.73,1.51,73.05,0.64,-0.02,463.79,1.00,0.55
22.49,17.93,0.38,58.82,7.98,0.36,1009.73,0.42,-0.59,85.19,0.80,0.81,444.11,1.00,-0.60
23.75,18.11,0.55,61.50,8.22,0.57,1008.16,0.38,-0.86,69.14,0.58,-0.29,442.35,1.00,-0.70
28.92,18.84,1.24,66.51,8.66,0.96,1015.50,0.56,0.38,34.51,0.12,-2.66,439.09,1.00,-0.90
12.11,16.46,-1.01,41.17,6.41,-1.03,1019.46,0.66,1.04,62.59,0.50,-0.73,475.53,1.00,1.24
13.64,16.68,-0.81,43.71,6.63,-0.83,1024.41,0.78,1.88,84.46,0.79,0.76,468.85,1.00,0.85
28.52,18.78,1.19,57.82,7.89,0.28,1004.81,0.29,-1.42,57.82,0.43,-1.06,435.40,1.00,-1.11
24.79,18.25,0.69,59.21,8.01,0.39,1017.90,0.62,0.78,53.83,0.38,-1.33,446.04,1.00,-0.49
24.27,18.18,0.62,60.37,8.11,0.48,1005.13,0.30,-1.37,77.16,0.69,0.26,437.78,1.00,-0.97
31.59,19.22,1.60,62.70,8.32,0.66,1009.30,0.41,-0.67,50.16,0.33,-1.59,442.58,1.00,-0.69
23.25,18.04,0.48,51.86,7.36,-0.19,1013.54,0.51,0.05,78.34,0.71,0.34,450.22,1.00,-0.24
22.10,17.87,0.33,58.33,7.93,0.32,1013.71,0.52,0.08,69.09,0.58,-0.29,441.31,1.00,-0.76
24.97,18.28,0.71,54.20,7.57,-0.01,1012.68,0.49,-0.10,74.25,0.65,0.06,439.71,1.00,-0.86
11.96,16.44,-1.03,43.41,6.61,-0.86,1017.42,0.61,0.70,79.44,0.72,0.42,469.34,1.00,0.88
35.03,19.71,2.06,68.27,8.82,1.10,1006.55,0.34,-1.13,43.82,0.24,-2.02,426.22,1.00,-1.65
17.97,17.29,-0.23,65.94,8.61,0.92,1012.92,0.50,-0.06,88.22,0.84,1.02,448.88,1.00,-0.32
24.24,18.18,0.62,70.32,9.00,1.26,1009.38,0.41,-0.65,82.83,0.77,0.65,436.45,1.00,-1.05
5.04,15.46,-1.96,40.64,6.36,-1.08,1021.35,0.70,1.36,93.63,0.91,1.39,484.42,1.00,1.76
17.18,17.18,-0.33,40.55,6.35,-1.08,1000.47,0.19,-2.15,72.03,0.62,-0.09,461.73,1.00,0.43
11.24,16.34,-1.13,25.36,5.00,-2.28,1009.26,0.41,-0.67,97.47,0.96,1.65,469.92,1.00,0.91
32.69,19.37,1.75,72.86,9.23,1.46,1003.57,0.26,-1.63,56.84,0.42,-1.13,431.76,1.00,-1.32
27.60,18.65,1.07,73.42,9.28,1.50,1011.91,0.47,-0.23,83.66,0.78,0.71,431.44,1.00,-1.34
7.50,15.81,-1.63,38.06,6.13,-1.28,1021.96,0.72,1.47,83.45,0.78,0.69,485.98,1.00,1.85
22.15,17.88,0.34,43.77,6.64,-0.83,1010.81,0.44,-0.41,60.08,0.46,-0.91,448.46,1.00,-0.35
18.18,17.32,-0.20,44.63,6.71,-0.76,1020.41,0.68,1.20,48.64,0.31,-1.69,455.57,1.00,0.07
17.19,17.18,-0.33,37.20,6.05,-1.35,1011.84,0.47,-0.24,67.59,0.56,-0.39,468.40,1.00,0.82
10.42,16.22,-1.24,43.79,6.64,-0.83,1016.22,0.58,0.50,90.75,0.87,1.19,474.79,1.00,1.20
12.74,16.55,-0.93,49.83,7.18,-0.35,1007.44,0.36,-0.98,91.47,0.88,1.24,466.09,1.00,0.69
27.43,18.63,1.04,56.85,7.80,0.20,1011.86,0.47,-0.24,36.76,0.15,-2.50,436.64,1.00,-1.04
23.68,18.10,0.54,68.12,8.80,1.09,1011.18,0.45,-0.35,72.45,0.63,-0.06,441.54,1.00,-0.75
13.83,16.70,-0.78,42.86,6.56,-0.90,1030.77,0.94,2.95,75.09,0.66,0.12,470.21,1.00,0.93
16.58,17.09,-0.41,41.93,6.47,-0.97,1022.36,0.73,1.53,45.24,0.26,-1.92,466.61,1.00,0.72
13.41,16.64,-0.84,45.00,6.75,-0.73,1021.65,0.71,1.41,45.24,0.26,-1.92,478.96,1.00,1.44
16.61,17.10,-0.41,50.90,7.27,-0.27,1013.18,0.50,-0.01,85.26,0.80,0.82,460.35,1.00,0.35
3.99,15.31,-2.10,39.90,6.29,-1.13,1009.74,0.42,-0.59,96.81,0.96,1.61,490.91,1.00,2.14
23.39,18.06,0.50,63.21,8.37,0.70,1011.91,0.47,-0.23,84.57,0.79,0.77,448.30,1.00,-0.36
14.42,16.79,-0.70,41.16,6.41,-1.03,1004.32,0.28,-1.51,88.42,0.84,1.04,467.25,1.00,0.76
7.11,15.75,-1.68,43.13,6.58,-0.88,1018.96,0.65,0.96,87.82,0.83,0.99,486.11,1.00,1.86
13.70,16.68,-0.80,45.64,6.80,-0.68,1019.18,0.65,1.00,92.66,0.90,1.33,467.90,1.00,0.79
24.43,18.20,0.64,65.18,8.54,0.86,1012.57,0.49,-0.12,77.83,0.70,0.31,437.26,1.00,-1.00
27.39,18.62,1.04,69.14,8.90,1.17,1008.82,0.39,-0.75,78.35,0.71,0.35,435.22,1.00,-1.12
26.94,18.56,0.98,62.91,8.34,0.68,1011.68,0.46,-0.27,41.30,0.21,-2.19,449.10,1.00,-0.31
19.09,17.45,-0.08,42.44,6.52,-0.93,1012.93,0.50,-0.06,63.59,0.51,-0.67,461.84,1.00,0.44
15.46,16.93,-0.56,44.60,6.71,-0.76,1017.70,0.61,0.75,68.20,0.57,-0.35,459.62,1.00,0.31
31.94,19.27,1.65,74.99,9.42,1.63,1002.05,0.23,-1.89,34.12,0.11,-2.68,440.17,1.00,-0.83
10.58,16.24,-1.22,41.49,6.44,-1.01,1020.43,0.68,1.21,91.90,0.89,1.27,473.19,1.00,1.10
19.95,17.57,0.04,58.46,7.94,0.33,1017.45,0.61,0.71,89.46,0.86,1.11,447.10,1.00,-0.43
5.82,15.57,-1.86,40.62,6.36,-1.08,1016.79,0.59,0.59,85.04,0.80,0.80,482.67,1.00,1.66
12.72,16.55,-0.93,44.90,6.74,-0.74,1007.60,0.36,-0.95,71.80,0.62,-0.10,463.49,1.00,0.53
14.87,16.85,-0.64,54.30,7.57,-0.00,1017.17,0.60,0.66,71.57,0.62,-0.12,462.87,1.00,0.50
29.17,18.88,1.28,67.45,8.74,1.03,1014.10,0.52,0.14,46.85,0.29,-1.81,435.08,1.00,-1.13
14.13,16.75,-0.74,43.70,6.63,-0.83,1015.94,0.57,0.45,80.89,0.74,0.52,469.28,1.00,0.87
22.67,17.95,0.41,60.77,8.15,0.51,1017.56,0.61,0.72,79.43,0.72,0.42,444.43,1.00,-0.58
28.01,18.71,1.12,64.69,8.50,0.82,1007.61,0.36,-0.95,58.45,0.44,-1.02,440.23,1.00,-0.83
30.93,19.12,1.51,70.83,9.05,1.30,1010.61,0.44,-0.45,46.13,0.28,-1.86,440.59,1.00,-0.81
23.01,18.00,0.45,66.54,8.66,0.96,1009.86,0.42,-0.57,64.53,0.52,-0.60,442.47,1.00,-0.70
32.53,19.35,1.73,77.95,9.68,1.86,1014.76,0.54,0.25,58.10,0.44,-1.04,434.44,1.00,-1.17
26.57,18.51,0.93,44.57,6.71,-0.77,1007.76,0.37,-0.93,50.39,0.33,-1.57,445.49,1.00,-0.52
11.64,16.39,-1.08,40.10,6.31,-1.12,1015.50,0.56,0.38,87.05,0.82,0.94,477.20,1.00,1.34
16.31,17.05,-0.45,42.28,6.51,-0.95,1007.45,0.36,-0.98,77.77,0.70,0.31,466.49,1.00,0.71
20.03,17.58,0.05,45.01,6.75,-0.73,1012.73,0.49,-0.09,56.89,0.42,-1.12,460.11,1.00,0.34
20.79,17.69,0.15,65.59,8.58,0.89,1014.90,0.54,0.28,77.00,0.69,0.25,450.30,1.00,-0.24
17.30,17.19,-0.32,42.24,6.50,-0.95,1017.07,0.60,0.64,64.52,0.52,-0.60,469.21,1.00,0.87
25.86,18.41,0.83,61.08,8.18,0.53,1013.51,0.51,0.04,67.50,0.56,-0.40,449.67,1.00,-0.28
9.80,16.13,-1.32,41.82,6.46,-0.98,1032.98,0.99,3.32,67.55,0.56,-0.39,473.72,1.00,1.13
25.42,18.34,0.77,75.60,9.47,1.68,1017.39,0.61,0.70,77.63,0.70,0.30,438.24,1.00,-0.94
28.75,18.82,1.22,77.24,9.62,1.80,1008.92,0.40,-0.73,77.17,0.69,0.26,433.03,1.00,-1.25
18.58,17.38,-0.14,46.97,6.92,-0.58,1014.25,0.53,0.17,74.09,0.65,0.05,454.26,1.00,-0.01
22.56,17.94,0.39,70.79,9.04,1.30,1005.85,0.32,-1.25,93.09,0.91,1.35,435.14,1.00,-1.13
23.05,18.01,0.46,48.98,7.10,-0.42,1015.64,0.56,0.40,49.33,0.32,-1.64,446.05,1.00,-0.49
26.78,18.54,0.96,52.30,7.40,-0.16,1008.52,0.39,-0.80,61.23,0.48,-0.83,441.21,1.00,-0.77
10.13,16.18,-1.28,39.18,6.23,-1.19,1024.09,0.77,1.82,85.48,0.80,0.83,479.42,1.00,1.47
31.97,19.27,1.65,69.04,8.89,1.16,1008.50,0.39,-0.80,47.69,0.30,-1.75,441.18,1.00,-0.77
8.95,16.01,-1.44,36.18,5.96,-1.43,1014.08,0.52,0.14,76.94,0.69,0.25,478.07,1.00,1.39
7.57,15.82,-1.62,39.61,6.27,-1.16,1018.66,0.64,0.91,85.73,0.81,0.85,480.86,1.00,1.55
25.97,18.42,0.85,43.21,6.59,-0.87,1011.90,0.47,-0.23,88.73,0.85,1.06,434.83,1.00,-1.14
24.56,18.22,0.66,60.27,8.11,0.47,1017.63,0.61,0.74,74.50,0.66,0.08,440.31,1.00,-0.82
30.71,19.09,1.48,64.05,8.44,0.77,1011.75,0.47,-0.25,62.81,0.50,-0.72,438.42,1.00,-0.93
13.80,16.70,-0.79,39.39,6.25,-1.17,1013.85,0.52,0.10,81.95,0.76,0.59,471.70,1.00,1.02
20.21,17.61,0.07,58.12,7.91,0.30,1015.36,0.56,0.35,79.18,0.72,0.40,453.19,1.00,-0.07
16.77,17.12,-0.39,45.01,6.75,-0.73,1013.47,0.51,0.04,81.42,0.75,0.56,458.22,1.00,0.23
29.18,18.88,1.28,71.43,9.10,1.35,1011.65,0.46,-0.27,59.49,0.45,-0.95,443.75,1.00,-0.62
17.86,17.27,-0.24,52.90,7.45,-0.11,1015.71,0.56,0.41,67.99,0.57,-0.36,457.42,1.00,0.18
4.24,15.34,-2.07,39.90,6.29,-1.13,1009.28,0.41,-0.67,96.74,0.95,1.60,491.25,1.00,2.16
24.11,18.16,0.60,59.27,8.02,0.39,1011.02,0.45,-0.38,78.18,0.71,0.33,444.35,1.00,-0.59
15.50,16.94,-0.56,40.12,6.31,-1.12,1012.79,0.49,-0.08,96.75,0.95,1.61,460.41,1.00,0.35
9.62,16.11,-1.35,41.01,6.39,-1.05,1019.43,0.66,1.04,97.99,0.97,1.69,467.34,1.00,0.76
5.05,15.46,-1.96,35.57,5.91,-1.47,1027.03,0.84,2.32,80.02,0.73,0.46,491.40,1.00,2.17
26.81,18.54,0.96,71.29,9.09,1.34,1009.65,0.41,-0.61,80.69,0.74,0.51,434.48,1.00,-1.17
15.68,16.96,-0.53,39.16,6.23,-1.19,1006.09,0.33,-1.21,75.62,0.67,0.16,461.98,1.00,0.45
21.85,17.84,0.30,63.86,8.43,0.75,1020.16,0.67,1.16,68.84,0.58,-0.31,445.62,1.00,-0.51
30.98,19.13,1.52,67.45,8.74,1.03,1015.18,0.55,0.32,45.40,0.27,-1.91,433.59,1.00,-1.22
30.14,19.01,1.41,67.69,8.77,1.05,1006.54,0.34,-1.13,57.05,0.42,-1.11,426.91,1.00,-1.61
29.89,18.98,1.37,71.29,9.09,1.34,1009.00,0.40,-0.72,55.72,0.40,-1.20,431.45,1.00,-1.34
29.42,18.91,1.31,56.90,7.81,0.20,1006.51,0.34,-1.14,53.60,0.38,-1.35,439.51,1.00,-0.87
26.60,18.51,0.93,61.02,8.17,0.53,1010.26,0.43,-0.51,66.16,0.54,-0.49,436.19,1.00,-1.06
19.64,17.53,-0.00,48.06,7.02,-0.49,1014.81,0.54,0.26,74.96,0.66,0.11,455.27,1.00,0.05
13.16,16.61,-0.87,54.30,7.57,-0.00,1017.33,0.60,0.69,82.43,0.76,0.62,468.40,1.00,0.82
33.17,19.44,1.81,70.40,9.01,1.27,1004.45,0.29,-1.48,58.00,0.43,-1.05,430.14,1.00,-1.42
16.14,17.03,-0.47,44.71,6.72,-0.76,1014.83,0.54,0.26,39.41,0.19,-2.32,468.88,1.00,0.85
25.34,18.33,0.76,71.06,9.07,1.32,1007.74,0.37,-0.93,92.52,0.90,1.32,434.86,1.00,-1.14
21.12,17.74,0.20,63.56,8.40,0.73,1014.16,0.53,0.15,81.42,0.75,0.56,445.90,1.00,-0.50
13.41,16.64,-0.84,39.35,6.24,-1.18,1015.10,0.55,0.31,79.32,0.72,0.41,471.85,1.00,1.02
13.38,16.64,-0.84,40.12,6.31,-1.12,1013.92,0.52,0.11,96.96,0.96,1.62,468.15,1.00,0.81
17.27,17.19,-0.32,43.52,6.62,-0.85,1021.37,0.70,1.37,76.73,0.69,0.23,460.08,1.00,0.33
16.69,17.11,-0.40,46.18,6.85,-0.64,1010.80,0.44,-0.41,96.80,0.95,1.61,466.03,1.00,0.68
7.80,15.85,-1.59,39.04,6.22,-1.20,1018.46,0.63,0.88,66.50,0.55,-0.47,482.31,1.00,1.64
27.14,18.59,1.00,75.23,9.44,1.65,1011.47,0.46,-0.30,63.14,0.50,-0.70,439.33,1.00,-0.88
21.08,17.73,0.19,44.05,6.66,-0.81,1008.13,0.38,-0.86,72.52,0.63,-0.05,449.60,1.00,-0.28
32.23,19.31,1.69,69.13,8.89,1.17,1000.61,0.19,-2.13,55.10,0.40,-1.25,426.90,1.00,-1.61
13.48,16.65,-0.83,40.73,6.37,-1.07,1017.59,0.61,0.73,94.81,0.93,1.47,463.60,1.00,0.54
10.45,16.22,-1.23,40.00,6.30,-1.13,1019.01,0.65,0.97,89.01,0.85,1.08,465.43,1.00,0.65
25.43,18.35,0.78,70.17,8.99,1.25,1000.46,0.19,-2.16,87.84,0.83,1.00,436.43,1.00,-1.05
7.09,15.75,-1.69,39.37,6.25,-1.18,1020.07,0.67,1.15,73.26,0.64,-0.00,487.00,1.00,1.91
31.24,19.17,1.56,74.22,9.35,1.57,1007.74,0.37,-0.93,48.77,0.31,-1.68,430.44,1.00,-1.40
21.92,17.85,0.30,61.87,8.25,0.60,1009.68,0.42,-0.60,58.83,0.45,-0.99,445.52,1.00,-0.52
10.74,16.26,-1.20,52.75,7.44,-0.12,1021.75,0.71,1.43,75.41,0.67,0.14,467.48,1.00,0.77
13.67,16.68,-0.80,41.48,6.43,-1.01,1017.51,0.61,0.72,63.54,0.51,-0.67,463.97,1.00,0.56
9.79,16.13,-1.32,39.69,6.27,-1.15,1002.36,0.23,-1.84,93.86,0.92,1.41,471.61,1.00,1.01
14.04,16.73,-0.75,39.64,6.27,-1.15,1011.09,0.45,-0.37,87.22,0.83,0.95,472.31,1.00,1.05
24.43,18.20,0.64,61.25,8.19,0.55,1011.66,0.46,-0.27,85.24,0.80,0.82,436.05,1.00,-1.07
14.88,16.85,-0.64,42.28,6.51,-0.95,1007.26,0.36,-1.01,71.30,0.61,-0.14,466.73,1.00,0.72
10.68,16.26,-1.20,38.38,6.16,-1.25,1020.79,0.69,1.27,72.33,0.63,-0.07,476.22,1.00,1.28
14.22,16.76,-0.73,42.32,6.51,-0.94,1015.54,0.56,0.38,77.23,0.69,0.27,465.00,1.00,0.62
14.47,16.79,-0.70,44.66,6.72,-0.76,1016.33,0.58,0.52,93.52,0.91,1.38,464.41,1.00,0.59
7.19,15.76,-1.67,40.81,6.37,-1.06,1015.22,0.55,0.33,85.65,0.81,0.85,487.15,1.00,1.92
11.73,16.41,-1.06,37.92,6.12,-1.29,1008.24,0.38,-0.85,65.13,0.53,-0.56,472.04,1.00,1.04
10.94,16.29,-1.17,43.67,6.63,-0.84,1012.36,0.48,-0.15,73.30,0.64,-0.00,477.34,1.00,1.35
14.44,16.79,-0.70,39.00,6.21,-1.20,1017.06,0.60,0.64,76.02,0.68,0.19,466.96,1.00,0.74
24.53,18.22,0.65,74.78,9.40,1.61,1009.90,0.42,-0.57,78.34,0.71,0.34,446.30,1.00,-0.47
29.72,18.95,1.35,54.20,7.57,-0.01,1012.86,0.49,-0.07,38.48,0.17,-2.39,438.84,1.00,-0.91
17.52,17.23,-0.29,44.05,6.66,-0.81,1008.87,0.40,-0.74,85.67,0.81,0.85,455.72,1.00,0.08
12.99,16.58,-0.89,44.00,6.66,-0.81,1025.22,0.80,2.01,90.27,0.87,1.16,470.93,1.00,0.97
10.04,16.17,-1.29,39.66,6.27,-1.15,1015.84,0.57,0.43,82.31,0.76,0.62,480.63,1.00,1.54
30.50,19.06,1.46,66.75,8.68,0.98,1017.55,0.61,0.72,38.20,0.17,-2.40,432.87,1.00,-1.26
33.11,19.43,1.81,69.75,8.95,1.22,1008.88,0.40,-0.74,42.08,0.22,-2.14,437.19,1.00,-1.01
13.41,16.64,-0.84,40.89,6.38,-1.06,1010.85,0.44,-0.41,89.61,0.86,1.12,472.40,1.00,1.06
26.98,18.57,0.98,74.78,9.40,1.61,1009.77,0.42,-0.59,69.54,0.59,-0.26,442.28,1.00,-0.71
15.19,16.90,-0.60,42.03,6.48,-0.97,1017.38,0.61,0.69,71.66,0.62,-0.11,462.64,1.00,0.48
28.24,18.74,1.15,64.69,8.50,0.82,1007.35,0.36,-1.00,61.14,0.48,-0.83,438.03,1.00,-0.96
29.04,18.86,1.26,60.07,8.09,0.45,1014.88,0.54,0.27,47.23,0.29,-1.79,438.50,1.00,-0.93
13.74,16.69,-0.79,45.08,6.75,-0.73,1024.97,0.79,1.97,84.79,0.79,0.79,466.79,1.00,0.73
12.58,16.53,-0.95,39.72,6.28,-1.15,1017.85,0.62,0.77,57.74,0.43,-1.07,471.24,1.00,0.99
17.30,17.19,-0.32,47.45,6.97,-0.54,1010.29,0.43,-0.50,87.13,0.83,0.95,448.79,1.00,-0.33
28.00,18.71,1.12,69.05,8.89,1.16,1000.82,0.20,-2.09,65.24,0.53,-0.55,427.71,1.00,-1.56
15.15,16.89,-0.60,53.82,7.53,-0.04,1016.34,0.58,0.52,62.59,0.50,-0.73,461.60,1.00,0.42
25.47,18.35,0.78,65.34,8.56,0.87,1015.30,0.55,0.34,50.31,0.33,-1.58,445.39,1.00,-0.53
20.78,17.69,0.15,68.28,8.82,1.10,1008.75,0.39,-0.76,60.87,0.47,-0.85,450.57,1.00,-0.22
26.12,18.44,0.87,49.02,7.10,-0.42,1008.63,0.39,-0.78,72.04,0.62,-0.09,438.52,1.00,-0.93
13.78,16.70,-0.79,40.73,6.37,-1.07,1017.55,0.61,0.72,94.28,0.92,1.44,462.59,1.00,0.48
26.28,18.47,0.89,68.14,8.81,1.09,1005.61,0.31,-1.29,53.17,0.37,-1.38,435.71,1.00,-1.09
27.76,18.68,1.09,75.33,9.45,1.65,1003.69,0.27,-1.61,79.62,0.72,0.43,433.03,1.00,-1.25
18.26,17.33,-0.19,49.64,7.16,-0.37,1024.92,0.79,1.96,62.82,0.50,-0.72,462.60,1.00,0.48
6.40,15.65,-1.78,39.18,6.23,-1.19,1024.60,0.78,1.91,86.83,0.82,0.93,484.44,1.00,1.76
26.31,18.47,0.89,44.57,6.71,-0.77,1007.51,0.36,-0.97,52.60,0.36,-1.42,452.73,1.00,-0.10
32.89,19.40,1.78,73.68,9.30,1.52,1014.45,0.53,0.20,52.34,0.36,-1.44,426.46,1.00,-1.64
6.74,15.70,-1.73,36.08,5.95,-1.43,1020.36,0.68,1.20,86.98,0.82,0.94,484.18,1.00,1.75
22.69,17.96,0.41,65.18,8.54,0.86,1012.47,0.48,-0.13,80.90,0.74,0.52,441.18,1.00,-0.77
33.11,19.43,1.81,77.54,9.64,1.83,1010.36,0.43,-0.49,50.99,0.34,-1.53,431.77,1.00,-1.32
22.28,17.90,0.35,58.86,7.98,0.36,1014.08,0.52,0.14,66.47,0.55,-0.47,446.55,1.00,-0.46
28.84,18.83,1.23,75.60,9.47,1.68,1018.41,0.63,0.87,53.96,0.38,-1.33,442.69,1.00,-0.68
31.75,19.24,1.62,74.99,9.42,1.63,1003.25,0.26,-1.69,53.33,0.37,-1.37,430.82,1.00,-1.38
9.60,16.10,-1.35,41.82,6.46,-0.98,1032.93,0.99,3.31,72.63,0.63,-0.05,475.01,1.00,1.21
21.54,17.79,0.25,69.48,8.93,1.19,1011.04,0.45,-0.37,80.48,0.74,0.49,443.15,1.00,-0.66
13.33,16.63,-0.85,38.47,6.17,-1.25,1015.42,0.56,0.36,58.27,0.44,-1.03,466.26,1.00,0.70
12.73,16.55,-0.93,37.73,6.10,-1.30,1021.89,0.72,1.45,61.76,0.49,-0.79,470.89,1.00,0.97
28.73,18.81,1.22,68.24,8.81,1.10,1008.31,0.38,-0.83,56.85,0.42,-1.13,430.63,1.00,-1.39
9.00,16.02,-1.43,43.13,6.58,-0.88,1020.25,0.68,1.18,81.32,0.75,0.55,481.09,1.00,1.57
31.10,19.15,1.54,68.51,8.84,1.12,1012.99,0.50,-0.05,54.30,0.39,-1.30,428.68,1.00,-1.51
28.81,18.82,1.23,56.86,7.80,0.20,1005.82,0.32,-1.25,56.86,0.42,-1.13,434.08,1.00,-1.19
14.95,16.86,-0.63,42.74,6.55,-0.91,1027.66,0.86,2.43,66.71,0.55,-0.45,464.31,1.00,0.58
23.04,18.01,0.45,48.06,7.02,-0.49,1014.16,0.53,0.15,54.99,0.39,-1.25,459.36,1.00,0.29
24.04,18.15,0.59,68.94,8.88,1.15,1007.62,0.36,-0.95,69.11,0.58,-0.29,437.13,1.00,-1.01
27.69,18.67,1.08,65.34,8.56,0.87,1014.31,0.53,0.18,46.59,0.28,-1.83,442.84,1.00,-0.68
28.82,18.83,1.23,64.79,8.51,0.83,1016.74,0.59,0.59,56.34,0.41,-1.16,445.10,1.00,-0.54
25.23,18.32,0.75,69.34,8.91,1.18,1009.51,0.41,-0.63,82.87,0.77,0.65,445.92,1.00,-0.49
8.77,15.99,-1.46,40.77,6.37,-1.07,1011.54,0.46,-0.29,89.58,0.86,1.11,480.56,1.00,1.53
7.61,15.82,-1.62,44.71,6.72,-0.76,1019.41,0.66,1.04,70.48,0.60,-0.19,485.36,1.00,1.82
28.37,18.76,1.17,75.60,9.47,1.68,1017.48,0.61,0.71,55.19,0.40,-1.24,439.25,1.00,-0.89
21.82,17.83,0.29,50.66,7.25,-0.29,1013.74,0.52,0.08,73.60,0.64,0.02,455.20,1.00,0.05
14.82,16.84,-0.65,42.74,6.55,-0.91,1028.04,0.87,2.49,69.81,0.59,-0.24,466.34,1.00,0.70
13.97,16.72,-0.76,52.05,7.37,-0.18,1012.05,0.47,-0.20,85.36,0.80,0.83,463.64,1.00,0.54
31.74,19.24,1.62,72.25,9.17,1.41,1012.21,0.48,-0.18,41.62,0.22,-2.17,437.29,1.00,-1.00
27.27,18.61,1.02,72.58,9.20,1.44,1009.25,0.40,-0.68,89.31,0.85,1.10,428.93,1.00,-1.49
23.95,18.14,0.58,58.79,7.97,0.35,1010.45,0.43,-0.47,74.34,0.65,0.07,448.32,1.00,-0.35
29.08,18.86,1.27,66.54,8.66,0.96,1004.67,0.29,-1.45,64.50,0.52,-0.60,430.16,1.00,-1.42
28.30,18.75,1.16,64.33,8.47,0.79,1011.23,0.45,-0.34,68.88,0.58,-0.30,441.51,1.00,-0.75
12.66,16.54,-0.94,43.67,6.63,-0.84,1012.49,0.49,-0.13,95.96,0.94,1.55,472.44,1.00,1.06
30.12,19.01,1.40,74.16,9.34,1.56,1013.13,0.50,-0.02,63.56,0.51,-0.67,433.08,1.00,-1.25
29.44,18.91,1.31,65.51,8.57,0.88,1014.82,0.54,0.26,56.49,0.41,-1.15,445.67,1.00,-0.51
25.95,18.42,0.85,59.92,8.07,0.44,1010.05,0.42,-0.54,76.05,0.68,0.19,443.93,1.00,-0.61
32.50,19.35,1.72,71.37,9.09,1.34,1003.75,0.27,-1.60,43.80,0.24,-2.02,433.70,1.00,-1.21
23.97,18.14,0.58,44.57,6.71,-0.77,1007.35,0.36,-1.00,62.71,0.50,-0.73,448.17,1.00,-0.36
21.97,17.86,0.31,58.12,7.91,0.30,1015.29,0.55,0.34,77.47,0.70,0.29,449.60,1.00,-0.28
32.17,19.30,1.68,73.21,9.26,1.49,1001.43,0.21,-1.99,69.86,0.59,-0.24,430.64,1.00,-1.39
12.35,16.49,-0.98,40.73,6.37,-1.07,1019.03,0.65,0.97,95.53,0.94,1.52,466.71,1.00,0.72
18.03,17.30,-0.22,53.16,7.47,-0.09,1013.06,0.50,-0.03,82.03,0.76,0.60,458.04,1.00,0.22
32.07,19.29,1.67,71.29,9.09,1.34,1008.43,0.38,-0.81,44.95,0.26,-1.94,426.96,1.00,-1.61
31.39,19.19,1.58,69.59,8.94,1.20,1008.28,0.38,-0.84,62.86,0.50,-0.72,435.76,1.00,-1.09
11.92,16.43,-1.04,40.62,6.36,-1.08,1016.66,0.59,0.57,55.25,0.40,-1.24,468.14,1.00,0.81
10.65,16.25,-1.21,41.78,6.46,-0.99,1013.66,0.51,0.07,70.04,0.60,-0.22,474.27,1.00,1.17
31.24,19.17,1.56,68.30,8.82,1.10,1015.89,0.57,0.44,42.84,0.23,-2.09,435.20,1.00,-1.12
9.13,16.04,-1.41,39.04,6.22,-1.20,1022.36,0.73,1.53,74.60,0.66,0.09,483.24,1.00,1.69
23.39,18.06,0.50,71.25,9.08,1.33,1005.22,0.31,-1.35,93.70,0.91,1.40,435.68,1.00,-1.09
11.95,16.44,-1.03,42.03,6.48,-0.97,1017.58,0.61,0.73,90.89,0.88,1.20,465.20,1.00,0.63
33.30,19.46,1.83,68.14,8.81,1.09,1003.02,0.25,-1.72,53.43,0.37,-1.36,426.88,1.00,-1.61
24.27,18.18,0.62,61.47,8.21,0.56,1007.84,0.37,-0.91,80.85,0.74,0.52,448.66,1.00,-0.33
18.13,17.31,-0.20,39.72,6.28,-1.15,1002.75,0.24,-1.77,58.85,0.45,-0.99,455.81,1.00,0.08
21.90,17.85,0.30,55.50,7.68,0.09,1018.85,0.64,0.94,60.27,0.47,-0.89,456.52,1.00,0.13
27.52,18.64,1.06,67.90,8.78,1.07,1005.65,0.32,-1.28,59.52,0.46,-0.94,439.01,1.00,-0.90
16.76,17.12,-0.39,48.14,7.03,-0.49,1012.92,0.50,-0.06,65.74,0.54,-0.52,456.31,1.00,0.11
12.77,16.55,-0.92,36.71,6.01,-1.38,1013.29,0.50,0.01,86.40,0.82,0.90,475.59,1.00,1.24
16.44,17.07,-0.43,53.82,7.53,-0.04,1015.40,0.56,0.36,63.16,0.50,-0.70,462.09,1.00,0.45
29.01,18.85,1.26,70.32,9.00,1.26,1007.26,0.36,-1.01,60.55,0.47,-0.87,429.23,1.00,-1.47
