AT (Original),AT (Binned),AT (Min-Max),AT (Z-Score)
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.83,14.01,0.27,-0.76
13.84,14.01,0.27,-0.76
13.84,14.01,0.27,-0.76
13.84,14.01,0.27,-0.76
13.85,14.01,0.27,-0.76
13.85,14.01,0.27,-0.76
13.85,14.01,0.27,-0.76
13.85,14.01,0.27,-0.76
13.85,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.86,14.01,0.27,-0.76
13.87,14.01,0.27,-0.76
13.87,14.01,0.27,-0.76
13.87,14.01,0.27,-0.76
13.87,14.01,0.27,-0.76
13.87,14.01,0.27,-0.76
13.88,14.01,0.27,-0.76
13.88,14.01,0.27,-0.76
13.88,14.01,0.27,-0.76
13.89,14.01,0.27,-0.76
13.89,14.01,0.27,-0.76
13.89,14.01,0.27,-0.76
13.89,14.01,0.27,-0.76
13.89,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.90,14.01,0.27,-0.76
13.91,14.01,0.27,-0.76
13.91,14.01,0.27,-0.76
13.91,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.92,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.93,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.94,14.01,0.27,-0.76
13.95,14.01,0.27,-0.76
13.95,14.01,0.27,-0.76
13.95,14.01,0.27,-0.76
13.95,14.01,0.27,-0.76
13.96,14.01,0.27,-0.76
13.96,14.01,0.27,-0.76
13.96,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.97,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.98,14.01,0.27,-0.76
13.99,14.01,0.27,-0.76
13.99,14.01,0.27,-0.76
14.00,14.01,0.27,-0.76
14.00,14.01,0.27,-0.76
14.00,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.01,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.02,14.01,0.27,-0.76
14.03,14.01,0.27,-0.76
14.03,14.01,0.27,-0.76
14.03,14.01,0.27,-0.76
14.03,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.04,14.01,0.27,-0.76
14.05,14.01,0.27,-0.76
14.05,14.01,0.27,-0.76
14.05,14.01,0.27,-0.76
14.05,14.01,0.27,-0.76
14.05,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.07,14.01,0.27,-0.76
14.08,14.01,0.27,-0.76
14.08,14.01,0.27,-0.76
14.08,14.01,0.27,-0.76
14.08,14.01,0.27,-0.76
14.08,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.09,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.10,14.01,0.27,-0.76
14.11,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.12,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.13,14.01,0.27,-0.76
14.14,14.01,0.27,-0.76
14.14,14.01,0.27,-0.76
14.14,14.01,0.27,-0.76
14.15,14.01,0.27,-0.76
14.16,14.01,0.27,-0.76
14.16,14.01,0.27,-0.76
14.16,14.01,0.27,-0.76
14.16,14.01,0.27,-0.76
14.17,14.01,0.27,-0.76
14.17,14.01,0.27,-0.76
14.17,14.01,0.27,-0.76
14.17,14.01,0.27,-0.76
14.17,14.01,0.27,-0.76
14.18,14.01,0.27,-0.76
14.18,14.01,0.27,-0.76
14.18,14.01,0.27,-0.76
14.18,14.01,0.27,-0.76
14.19,14.01,0.27,-0.76
14.19,14.01,0.27,-0.76
14.19,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.20,14.01,0.27,-0.76
14.21,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.22,14.01,0.27,-0.76
14.23,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.24,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.26,14.01,0.27,-0.76
14.27,14.01,0.27,-0.76
14.27,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.28,14.01,0.27,-0.76
14.29,14.01,0.27,-0.76
14.29,14.01,0.27,-0.76
14.29,14.01,0.27,-0.76
14.29,14.01,0.27,-0.76
14.30,14.01,0.27,-0.76
14.30,14.01,0.27,-0.76
14.30,14.01,0.27,-0.76
14.30,14.01,0.27,-0.76
14.31,14.01,0.27,-0.76
14.31,14.01,0.27,-0.76
14.32,14.01,0.27,-0.76
14.32,14.01,0.27,-0.76
14.32,14.01,0.27,-0.76
14.32,14.01,0.27,-0.76
14.33,14.01,0.27,-0.76
14.33,14.01,0.27,-0.76
14.33,14.01,0.27,-0.76
14.33,14.01,0.27,-0.76
14.34,14.01,0.27,-0.76
14.35,14.01,0.27,-0.76
14.35,14.01,0.27,-0.76
14.35,14.01,0.27,-0.76
14.35,14.01,0.27,-0.76
14.35,14.01,0.27,-0.76
14.36,14.01,0.27,-0.76
14.36,14.01,0.27,-0.76
14.37,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.38,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.39,14.01,0.27,-0.76
14.40,14.01,0.27,-0.76
14.40,14.01,0.27,-0.76
14.40,14.01,0.27,-0.76
14.40,14.01,0.27,-0.76
14.41,14.01,0.27,-0.76
14.41,14.01,0.27,-0.76
14.41,14.01,0.27,-0.76
14.41,14.01,0.27,-0.76
14.41,14.01,0.27,-0.76
14.42,14.01,0.27,-0.76
14.42,14.01,0.27,-0.76
14.42,14.01,0.27,-0.76
14.42,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.43,14.01,0.27,-0.76
14.44,14.01,0.27,-0.76
14.44,14.01,0.27,-0.76
14.44,14.01,0.27,-0.76
14.44,14.01,0.27,-0.76
14.44,14.01,0.27,-0.76
14.45,14.01,0.27,-0.76
14.45,14.01,0.27,-0.76
14.45,14.01,0.27,-0.76
14.45,14.01,0.27,-0.76
14.45,14.01,0.27,-0.76
14.46,14.01,0.27,-0.76
14.46,14.01,0.27,-0.76
14.46,14.01,0.27,-0.76
14.46,14.01,0.27,-0.76
14.46,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.47,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.48,14.01,0.27,-0.76
14.49,14.01,0.27,-0.76
14.49,14.01,0.27,-0.76
14.49,14.01,0.27,-0.76
14.49,14.01,0.27,-0.76
14.50,14.01,0.27,-0.76
14.50,14.01,0.27,-0.76
14.50,14.01,0.27,-0.76
14.50,14.01,0.27,-0.76
14.50,14.01,0.27,-0.76
14.51,14.01,0.27,-0.76
14.51,14.01,0.27,-0.76
14.51,14.01,0.27,-0.76
14.51,14.01,0.27,-0.76
14.51,14.01,0.27,-0.76
14.52,14.01,0.27,-0.76
14.52,14.01,0.27,-0.76
14.53,14.01,0.27,-0.76
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.54,15.13,0.31,-0.61
14.55,15.13,0.31,-0.61
14.55,15.13,0.31,-0.61
14.55,15.13,0.31,-0.61
14.55,15.13,0.31,-0.61
14.55,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.56,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.57,15.13,0.31,-0.61
14.58,15.13,0.31,-0.61
14.58,15.13,0.31,-0.61
14.58,15.13,0.31,-0.61
14.59,15.13,0.31,-0.61
14.59,15.13,0.31,-0.61
14.59,15.13,0.31,-0.61
14.60,15.13,0.31,-0.61
14.60,15.13,0.31,-0.61
14.60,15.13,0.31,-0.61
14.60,15.13,0.31,-0.61
14.60,15.13,0.31,-0.61
14.62,15.13,0.31,-0.61
14.62,15.13,0.31,-0.61
14.62,15.13,0.31,-0.61
14.62,15.13,0.31,-0.61
14.63,15.13,0.31,-0.61
14.63,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.64,15.13,0.31,-0.61
14.65,15.13,0.31,-0.61
14.65,15.13,0.31,-0.61
14.65,15.13,0.31,-0.61
14.65,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.66,15.13,0.31,-0.61
14.67,15.13,0.31,-0.61
14.67,15.13,0.31,-0.61
14.67,15.13,0.31,-0.61
14.68,15.13,0.31,-0.61
14.68,15.13,0.31,-0.61
14.68,15.13,0.31,-0.61
14.69,15.13,0.31,-0.61
14.69,15.13,0.31,-0.61
14.69,15.13,0.31,-0.61
14.69,15.13,0.31,-0.61
14.70,15.13,0.31,-0.61
14.70,15.13,0.31,-0.61
14.70,15.13,0.31,-0.61
14.70,15.13,0.31,-0.61
14.71,15.13,0.31,-0.61
14.71,15.13,0.31,-0.61
14.72,15.13,0.31,-0.61
14.72,15.13,0.31,-0.61
14.72,15.13,0.31,-0.61
14.72,15.13,0.31,-0.61
14.72,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.73,15.13,0.31,-0.61
14.74,15.13,0.31,-0.61
14.74,15.13,0.31,-0.61
14.74,15.13,0.31,-0.61
14.74,15.13,0.31,-0.61
14.75,15.13,0.31,-0.61
14.75,15.13,0.31,-0.61
14.76,15.13,0.31,-0.61
14.76,15.13,0.31,-0.61
14.76,15.13,0.31,-0.61
14.76,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.77,15.13,0.31,-0.61
14.78,15.13,0.31,-0.61
14.78,15.13,0.31,-0.61
14.78,15.13,0.31,-0.61
14.78,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.79,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.80,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.81,15.13,0.31,-0.61
14.82,15.13,0.31,-0.61
14.82,15.13,0.31,-0.61
14.82,15.13,0.31,-0.61
14.82,15.13,0.31,-0.61
14.83,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.84,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.85,15.13,0.31,-0.61
14.86,15.13,0.31,-0.61
14.86,15.13,0.31,-0.61
14.86,15.13,0.31,-0.61
14.86,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.87,15.13,0.31,-0.61
14.88,15.13,0.31,-0.61
14.88,15.13,0.31,-0.61
14.89,15.13,0.31,-0.61
14.89,15.13,0.31,-0.61
14.89,15.13,0.31,-0.61
14.90,15.13,0.31,-0.61
14.91,15.13,0.31,-0.61
14.91,15.13,0.31,-0.61
14.91,15.13,0.31,-0.61
14.91,15.13,0.31,-0.61
14.92,15.13,0.31,-0.61
14.92,15.13,0.31,-0.61
14.93,15.13,0.31,-0.61
14.93,15.13,0.31,-0.61
14.93,15.13,0.31,-0.61
14.93,15.13,0.31,-0.61
14.93,15.13,0.31,-0.61
14.94,15.13,0.31,-0.61
14.94,15.13,0.31,-0.61
14.94,15.13,0.31,-0.61
14.94,15.13,0.31,-0.61
14.95,15.13,0.31,-0.61
14.95,15.13,0.31,-0.61
14.95,15.13,0.31,-0.61
14.95,15.13,0.31,-0.61
14.95,15.13,0.31,-0.61
14.96,15.13,0.31,-0.61
14.96,15.13,0.31,-0.61
14.96,15.13,0.31,-0.61
14.97,15.13,0.31,-0.61
14.97,15.13,0.31,-0.61
14.97,15.13,0.31,-0.61
14.98,15.13,0.31,-0.61
14.98,15.13,0.31,-0.61
14.99,15.13,0.31,-0.61
15.00,15.13,0.31,-0.61
15.00,15.13,0.31,-0.61
15.00,15.13,0.31,-0.61
15.00,15.13,0.31,-0.61
15.01,15.13,0.31,-0.61
15.01,15.13,0.31,-0.61
15.01,15.13,0.31,-0.61
15.02,15.13,0.31,-0.61
15.02,15.13,0.31,-0.61
15.02,15.13,0.31,-0.61
15.03,15.13,0.31,-0.61
15.03,15.13,0.31,-0.61
15.03,15.13,0.31,-0.61
15.03,15.13,0.31,-0.61
15.03,15.13,0.31,-0.61
15.04,15.13,0.31,-0.61
15.04,15.13,0.31,-0.61
15.06,15.13,0.31,-0.61
15.06,15.13,0.31,-0.61
15.07,15.13,0.31,-0.61
15.07,15.13,0.31,-0.61
15.07,15.13,0.31,-0.61
15.07,15.13,0.31,-0.61
15.07,15.13,0.31,-0.61
15.08,15.13,0.31,-0.61
15.08,15.13,0.31,-0.61
15.08,15.13,0.31,-0.61
15.09,15.13,0.31,-0.61
15.09,15.13,0.31,-0.61
15.09,15.13,0.31,-0.61
15.09,15.13,0.31,-0.61
15.09,15.13,0.31,-0.61
15.10,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.11,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.12,15.13,0.31,-0.61
15.14,15.13,0.31,-0.61
15.14,15.13,0.31,-0.61
15.14,15.13,0.31,-0.61
15.14,15.13,0.31,-0.61
15.14,15.13,0.31,-0.61
15.15,15.13,0.31,-0.61
15.15,15.13,0.31,-0.61
15.15,15.13,0.31,-0.61
15.15,15.13,0.31,-0.61
15.16,15.13,0.31,-0.61
15.16,15.13,0.31,-0.61
15.17,15.13,0.31,-0.61
15.17,15.13,0.31,-0.61
15.17,15.13,0.31,-0.61
15.18,15.13,0.31,-0.61
15.18,15.13,0.31,-0.61
15.19,15.13,0.31,-0.61
15.19,15.13,0.31,-0.61
15.20,15.13,0.31,-0.61
15.20,15.13,0.31,-0.61
15.21,15.13,0.31,-0.61
15.21,15.13,0.31,-0.61
15.21,15.13,0.31,-0.61
15.21,15.13,0.31,-0.61
15.21,15.13,0.31,-0.61
15.22,15.13,0.31,-0.61
15.22,15.13,0.31,-0.61
15.22,15.13,0.31,-0.61
15.23,15.13,0.31,-0.61
15.23,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.24,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.25,15.13,0.31,-0.61
15.26,15.13,0.31,-0.61
15.26,15.13,0.31,-0.61
15.27,15.13,0.31,-0.61
15.27,15.13,0.31,-0.61
15.27,15.13,0.31,-0.61
15.27,15.13,0.31,-0.61
15.28,15.13,0.31,-0.61
15.28,15.13,0.31,-0.61
15.28,15.13,0.31,-0.61
15.28,15.13,0.31,-0.61
15.29,15.13,0.31,-0.61
15.29,15.13,0.31,-0.61
15.29,15.13,0.31,-0.61
15.29,15.13,0.31,-0.61
15.29,15.13,0.31,-0.61
15.30,15.13,0.31,-0.61
15.30,15.13,0.31,-0.61
15.30,15.13,0.31,-0.61
15.30,15.13,0.31,-0.61
15.30,15.13,0.31,-0.61
15.31,15.13,0.31,-0.61
15.31,15.13,0.31,-0.61
15.31,15.13,0.31,-0.61
15.32,15.13,0.31,-0.61
15.33,15.13,0.31,-0.61
15.33,15.13,0.31,-0.61
15.33,15.13,0.31,-0.61
15.33,15.13,0.31,-0.61
15.33,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.34,15.13,0.31,-0.61
15.35,15.13,0.31,-0.61
15.35,15.13,0.31,-0.61
15.36,15.13,0.31,-0.61
15.36,15.13,0.31,-0.61
15.36,15.13,0.31,-0.61
15.37,15.13,0.31,-0.61
15.37,15.13,0.31,-0.61
15.37,15.13,0.31,-0.61
15.37,15.13,0.31,-0.61
15.38,15.13,0.31,-0.61
15.39,15.13,0.31,-0.61
15.39,15.13,0.31,-0.61
15.40,15.13,0.31,-0.61
15.40,15.13,0.31,-0.61
15.40,15.13,0.31,-0.61
15.41,15.13,0.31,-0.61
15.41,15.13,0.31,-0.61
15.42,15.13,0.31,-0.61
15.42,15.13,0.31,-0.61
15.42,15.13,0.31,-0.61
15.43,15.13,0.31,-0.61
15.43,15.13,0.31,-0.61
15.43,15.13,0.31,-0.61
15.43,15.13,0.31,-0.61
15.43,15.13,0.31,-0.61
15.44,15.13,0.31,-0.61
15.45,15.13,0.31,-0.61
15.45,15.13,0.31,-0.61
15.45,15.13,0.31,-0.61
15.46,15.13,0.31,-0.61
15.46,15.13,0.31,-0.61
15.46,15.13,0.31,-0.61
15.46,15.13,0.31,-0.61
15.47,15.13,0.31,-0.61
15.47,15.13,0.31,-0.61
15.47,15.13,0.31,-0.61
15.47,15.13,0.31,-0.61
15.47,15.13,0.31,-0.61
15.48,15.13,0.31,-0.61
15.48,15.13,0.31,-0.61
15.48,15.13,0.31,-0.61
15.48,15.13,0.31,-0.61
15.49,15.13,0.31,-0.61
15.49,15.13,0.31,-0.61
15.49,15.13,0.31,-0.61
15.49,15.13,0.31,-0.61
15.50,15.13,0.31,-0.61
15.50,15.13,0.31,-0.61
15.50,15.13,0.31,-0.61
15.50,15.13,0.31,-0.61
15.50,15.13,0.31,-0.61
15.51,15.13,0.31,-0.61
15.51,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.52,15.13,0.31,-0.61
15.54,15.13,0.31,-0.61
15.54,15.13,0.31,-0.61
15.54,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.55,15.13,0.31,-0.61
15.56,15.13,0.31,-0.61
15.56,15.13,0.31,-0.61
15.56,15.13,0.31,-0.61
15.56,15.13,0.31,-0.61
15.57,15.13,0.31,-0.61
15.57,15.13,0.31,-0.61
15.58,15.13,0.31,-0.61
15.59,15.13,0.31,-0.61
15.59,15.13,0.31,-0.61
15.59,15.13,0.31,-0.61
15.60,15.13,0.31,-0.61
15.60,15.13,0.31,-0.61
15.60,15.13,0.31,-0.61
15.60,15.13,0.31,-0.61
15.61,15.13,0.31,-0.61
15.61,15.13,0.31,-0.61
15.61,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.62,15.13,0.31,-0.61
15.63,15.13,0.31,-0.61
15.63,15.13,0.31,-0.61
15.63,15.13,0.31,-0.61
15.63,15.13,0.31,-0.61
15.63,15.13,0.31,-0.61
15.64,15.13,0.31,-0.61
15.64,15.13,0.31,-0.61
15.64,15.13,0.31,-0.61
15.65,15.13,0.31,-0.61
15.65,15.13,0.31,-0.61
15.65,15.13,0.31,-0.61
15.66,15.13,0.31,-0.61
15.66,15.13,0.31,-0.61
15.66,15.13,0.31,-0.61
15.67,15.13,0.31,-0.61
15.67,15.13,0.31,-0.61
15.67,15.13,0.31,-0.61
15.67,15.13,0.31,-0.61
15.68,15.13,0.31,-0.61
15.68,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.69,15.13,0.31,-0.61
15.70,15.13,0.31,-0.61
15.70,15.13,0.31,-0.61
15.71,15.13,0.31,-0.61
15.71,15.13,0.31,-0.61
15.71,15.13,0.31,-0.61
15.72,15.13,0.31,-0.61
15.72,15.13,0.31,-0.61
15.72,15.13,0.31,-0.61
15.73,15.13,0.31,-0.61
15.74,15.13,0.31,-0.61
15.74,15.13,0.31,-0.61
15.74,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.75,15.13,0.31,-0.61
15.76,15.13,0.31,-0.61
15.77,15.13,0.31,-0.61
15.77,15.13,0.31,-0.61
15.77,15.13,0.31,-0.61
15.78,15.13,0.31,-0.61
15.78,15.13,0.31,-0.61
15.78,15.13,0.31,-0.61
15.78,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.79,15.13,0.31,-0.61
15.80,15.13,0.31,-0.61
15.80,15.13,0.31,-0.61
15.80,15.13,0.31,-0.61
15.80,15.13,0.31,-0.61
15.81,16.61,0.36,-0.41
15.81,16.61,0.36,-0.41
15.82,16.61,0.36,-0.41
15.82,16.61,0.36,-0.41
15.82,16.61,0.36,-0.41
15.83,16.61,0.36,-0.41
15.83,16.61,0.36,-0.41
15.83,16.61,0.36,-0.41
15.84,16.61,0.36,-0.41
15.84,16.61,0.36,-0.41
15.84,16.61,0.36,-0.41
